player,tm,g,gs,fg_percent,x3p_percent,x2p_percent,ft_percent,pts_per_game
Michael Porter Jr.,DEN,16,16,0.466,0.427,0.51,0.8,16.4
Mikal Bridges,PHO,21,21,0.518,0.419,0.561,0.875,15.7
Mike Conley,UTA,17,17,0.392,0.386,0.4,0.765,10.2
Mike Muscala,OKC,14,1,0.433,0.318,0.652,0.75,6.0
Miles McBride,NYK,10,0,0.409,0.1,0.667,0.25,2.0
Mitchell Robinson,NYK,14,13,0.723,0.0,0.723,0.444,7.6
Mo Bamba,ORL,19,5,0.479,0.357,0.587,0.71,8.2
Monte Morris,WAS,19,19,0.439,0.368,0.484,0.714,8.7
Montrezl Harrell,PHI,19,5,0.54,0.0,0.54,0.745,5.4
Moritz Wagner,ORL,4,0,0.364,0.133,0.857,0.857,7.5
Moses Brown,LAC,15,0,0.667,0.0,0.667,0.486,3.8
Moses Moody,GSW,18,1,0.394,0.326,0.52,0.818,4.9
Moussa Diabaté,LAC,4,0,0.6,0.0,0.6,0.833,4.3
Myles Turner,IND,16,16,0.528,0.377,0.607,0.808,17.1
Naji Marshall,NOP,19,4,0.418,0.341,0.47,0.76,6.6
Nassir Little,POR,21,0,0.473,0.372,0.563,0.667,5.5
Nathan Knight,MIN,9,0,0.333,0.0,0.5,0.6,0.6
Naz Reid,MIN,16,0,0.527,0.306,0.673,0.652,7.6
Nerlens Noel,DET,6,0,0.308,0.0,0.308,0.75,1.8
Nic Claxton,BRK,22,22,0.725,0.0,0.73,0.456,11.7
Nick Richards,CHO,21,0,0.61,0.0,0.61,0.738,9.4
Nickeil Alexander-Walker,UTA,14,0,0.4,0.333,0.464,0.889,4.4
Nicolas Batum,LAC,23,1,0.412,0.365,0.545,0.625,4.5
Nikola Jokić,DEN,18,18,0.629,0.324,0.685,0.847,22.7
Nikola Jović,MIA,10,6,0.396,0.2,0.571,0.947,6.5
Nikola Vučević,CHI,21,21,0.477,0.344,0.549,0.857,15.6
Noah Vonleh,BOS,15,1,0.5,0.333,0.526,1.0,1.7
Norman Powell,LAC,22,5,0.459,0.379,0.51,0.78,14.8
Obi Toppin,NYK,22,0,0.436,0.371,0.522,0.846,8.2
Ochai Agbaji,UTA,7,0,0.421,0.0,0.615,0.571,2.9
OG Anunoby,TOR,21,21,0.471,0.35,0.528,0.847,18.7
Onyeka Okongwu,ATL,21,2,0.635,0.0,0.647,0.743,7.5
Orlando Robinson,MIA,2,0,0.462,0.0,0.6,0.667,7.0
Oshae Brissett,IND,16,0,0.393,0.333,0.5,0.7,4.7
Otto Porter Jr.,TOR,8,2,0.5,0.353,0.692,1.0,5.5
Ousmane Dieng,OKC,12,0,0.38,0.233,0.6,0.25,3.8
P.J. Tucker,PHI,22,22,0.455,0.4,0.516,0.75,3.5
P.J. Washington,CHO,21,21,0.441,0.339,0.512,0.797,15.9
Paolo Banchero,ORL,15,15,0.458,0.273,0.51,0.732,22.7
Pascal Siakam,TOR,11,11,0.487,0.349,0.526,0.731,24.0
Pat Connaughton,MIL,4,0,0.296,0.25,0.429,1.0,5.8
Patrick Baldwin Jr.,GSW,4,0,0.4,0.25,1.0,0.0,2.5
Patrick Beverley,LAL,15,15,0.268,0.234,0.333,0.824,4.2
Patrick Williams,CHI,21,21,0.455,0.435,0.467,0.929,9.2
Patty Mills,BRK,20,0,0.423,0.382,0.563,1.0,4.6
Paul George,LAC,16,16,0.458,0.372,0.521,0.852,23.6
Paul Reed,PHI,19,0,0.604,0.0,0.644,0.75,3.4
Payton Pritchard,BOS,13,0,0.417,0.4,0.44,0.625,5.3
Peyton Watson,DEN,6,0,0.333,0.0,0.375,0.0,1.0
Precious Achiuwa,TOR,12,0,0.391,0.179,0.484,0.848,8.8
Quentin Grimes,NYK,12,7,0.456,0.294,0.696,0.8,5.5
R.J. Hampton,ORL,19,0,0.441,0.362,0.509,0.862,6.9
Raul Neto,CLE,15,0,0.472,0.308,0.565,0.875,3.0
Reggie Bullock,DAL,19,18,0.291,0.271,0.389,0.727,4.8
Reggie Jackson,LAC,23,23,0.44,0.347,0.503,0.921,12.5
Richaun Holmes,SAC,11,0,0.667,0.5,0.682,0.667,3.4
RJ Barrett,NYK,22,22,0.406,0.281,0.47,0.778,18.8
Robert Covington,LAC,14,0,0.404,0.395,0.421,0.867,5.3
Robin Lopez,CLE,16,1,0.65,0.0,0.65,0.75,3.8
Rodney McGruder,DET,8,2,0.263,0.214,0.4,1.0,1.9
Romeo Langford,SAS,11,2,0.446,0.188,0.55,0.6,5.4
Ron Harper Jr.,TOR,2,0,0.5,0.667,0.0,0.0,3.0
Royce O'Neale,BRK,23,23,0.392,0.414,0.352,0.762,9.8
Rudy Gay,UTA,12,0,0.362,0.265,0.5,0.5,4.5
Rudy Gobert,MIN,20,20,0.645,0.0,0.654,0.732,13.6
Rui Hachimura,WAS,16,0,0.481,0.333,0.525,0.724,11.6
Russell Westbrook,LAL,19,3,0.399,0.317,0.438,0.707,15.0
Ryan Arcidiacono,NYK,6,0,0.0,0.0,0.0,0.0,0.0
Ryan Rollins,GSW,7,0,0.333,0.375,0.286,1.0,2.1
Saben Lee,PHI,2,0,0.75,0.0,1.0,0.0,3.0
Saddiq Bey,DET,19,17,0.406,0.272,0.526,0.911,14.5
Sam Hauser,BOS,22,0,0.514,0.479,0.769,0.778,7.5
Sandro Mamukelashvili,MIL,9,0,0.353,0.125,0.556,0.5,1.9
Santi Aldama,MEM,20,15,0.446,0.329,0.548,0.688,9.3
Scottie Barnes,TOR,18,17,0.429,0.338,0.467,0.724,13.8
Scotty Pippen Jr.,LAL,2,0,0.0,0.0,0.0,0.75,1.5
Serge Ibaka,MIL,14,0,0.523,0.429,0.567,0.615,4.3
Seth Curry,BRK,13,0,0.457,0.426,0.5,0.889,10.0
Shaedon Sharpe,POR,21,5,0.483,0.385,0.538,0.65,8.2
Shai Gilgeous-Alexander,OKC,20,20,0.506,0.339,0.534,0.919,31.1
Shake Milton,PHI,18,7,0.533,0.4,0.58,0.853,11.5
